# cb 1180-22430 ool 790-16748 del=0 ncb=21251 nb=9250 nt=3000
# cbs=21251 per read=85.0 base=1180
106 316 0 317 0 0
107 408 0 410 0 0
108 510 0 511 0 0
109 594 0 595 0 0
110 665 0 666 0 0
111 718 0 720 0 0
112 747 0 748 0 0
113 754 0 755 0 0
114 735 0 737 0 0
115 694 0 695 0 0
116 632 0 634 0 0
117 558 0 559 0 0
118 470 0 471 0 0
119 373 0 374 0 0
120 277 0 279 0 0
121 188 0 189 0 0
122 109 0 110 0 0
123 47 0 49 0 0
124 6 0 7 0 0
125 0 0 0 0 0
126 0 0 0 0 0
127 24 0 25 0 0
128 74 0 75 0 0
129 144 0 145 0 0
130 227 0 228 0 0
131 318 0 319 0 0
132 411 0 412 0 0
133 505 0 507 0 0
134 591 0 593 0 0
135 662 0 663 0 0
136 715 0 717 0 0
137 745 0 746 0 0
138 749 0 751 0 0
139 732 0 733 0 0
140 691 0 693 0 0
141 632 0 633 0 0
142 557 0 559 0 0
143 469 0 471 0 0
144 374 0 375 0 0
145 280 0 282 0 0
146 189 0 190 0 0
147 110 0 112 0 0
148 46 0 48 0 0
149 6 0 7 0 0
150 0 0 0 0 0
151 0 0 0 0 0
152 24 0 25 0 0
153 75 0 76 0 0
154 143 0 144 0 0
155 228 0 229 0 0
156 318 0 319 0 0
157 410 0 412 0 0
158 508 0 509 0 0
159 594 0 596 0 0
160 665 0 667 0 0
161 717 0 718 0 0
162 747 0 749 0 0
163 753 0 755 0 0
164 735 0 737 0 0
165 695 0 696 0 0
166 633 0 634 0 0
167 554 0 556 0 0
168 468 0 469 0 0
169 371 0 372 0 0
170 279 0 280 0 0
171 186 0 187 0 0
172 107 0 108 0 0
173 44 0 45 0 0
174 4 0 5 0 0
175 0 0 0 0 0
176 0 0 0 0 0
177 24 0 25 0 0
178 76 0 77 0 0
179 143 0 144 0 0
180 227 0 229 0 0
181 318 0 319 0 0
182 411 0 412 0 0
183 509 0 511 0 0
184 594 0 596 0 0
185 663 0 665 0 0
186 718 0 719 0 0
187 746 0 748 0 0
